id,package,version,asset,count_2022_12_05,count_2022_12_06,count_2022_12_07,count_2022_12_08,count_2022_12_09,count_2022_12_10,count_2022_12_11,count_2022_12_12,count_2022_12_13,count_2022_12_14,count_2022_12_15,count_2022_12_16,count_2022_12_17,count_2022_12_18,count_2022_12_19,count_2022_12_20,count_2022_12_21,count_2022_12_22,count_2022_12_23
pybind11_20221105-184930_804badf_pybind11-install.tar.gz,pybind11,20221105-184930 804badf,pybind11-install.tar.gz,20.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
pybind11_20221105-160830_7b06de6_pybind11-install.tar.gz,pybind11,20221105-160830 7b06de6,pybind11-install.tar.gz,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
petsc4py_20221106-125449_ae2ea5c_complex_petsc4py-install.tar.gz,petsc4py,20221106-125449 ae2ea5c complex,petsc4py-install.tar.gz,13.0,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14
petsc4py_20221106-125355_ae2ea5c_real_petsc4py-install.tar.gz,petsc4py,20221106-125355 ae2ea5c real,petsc4py-install.tar.gz,7.0,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8
petsc4py_20221105-163505_7b06de6_real_petsc4py-install.tar.gz,petsc4py,20221105-163505 7b06de6 real,petsc4py-install.tar.gz,13.0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
petsc4py_20221105-163454_7b06de6_complex_petsc4py-install.tar.gz,petsc4py,20221105-163454 7b06de6 complex,petsc4py-install.tar.gz,14.0,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
occ_20221106-115848_ae2ea5c_occ-install.tar.gz,occ,20221106-115848 ae2ea5c,occ-install.tar.gz,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
occ_20221105-153821_7b06de6_occ-install.tar.gz,occ,20221105-153821 7b06de6,occ-install.tar.gz,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
mpi4py_20221106-115755_ae2ea5c_mpi4py-install.tar.gz,mpi4py,20221106-115755 ae2ea5c,mpi4py-install.tar.gz,34.0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
mpi4py_20221105-153828_7b06de6_mpi4py-install.tar.gz,mpi4py,20221105-153828 7b06de6,mpi4py-install.tar.gz,44.0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
mpi4py_20221105-103537_166218f_mpi4py-install.tar.gz,mpi4py,20221105-103537 166218f,mpi4py-install.tar.gz,14.0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
mock_20221106-170800_ae2ea5c_mock-install.tar.gz,mock,20221106-170800 ae2ea5c,mock-install.tar.gz,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
mock_20221105-190937_804badf_mock-install.tar.gz,mock,20221105-190937 804badf,mock-install.tar.gz,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
itk_20221106-121822_ae2ea5c_itk-install.tar.gz,itk,20221106-121822 ae2ea5c,itk-install.tar.gz,6.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
itk_20221105-155606_7b06de6_itk-install.tar.gz,itk,20221105-155606 7b06de6,itk-install.tar.gz,10.0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
h5py_20221106-122935_ae2ea5c_h5py-install.tar.gz,h5py,20221106-122935 ae2ea5c,h5py-install.tar.gz,27.0,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28
h5py_20221105-160826_7b06de6_h5py-install.tar.gz,h5py,20221105-160826 7b06de6,h5py-install.tar.gz,34.0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
gmsh_20221106-170752_ae2ea5c_gmsh-install.tar-39bdb7fcbd245a1df2e6a4d52f05a1b6.gz,gmsh,20221106-170752 ae2ea5c,gmsh-install.tar-39bdb7fcbd245a1df2e6a4d52f05a1b6.gz,2.0,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
gmsh_20221105-190851_804badf_gmsh-install.tar.gz,gmsh,20221105-190851 804badf,gmsh-install.tar.gz,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
gcc_20221106-111113_ae2ea5c_gcc-install.tar.gz,gcc,20221106-111113 ae2ea5c,gcc-install.tar.gz,48.0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
gcc_20221105-145357_7b06de6_gcc-install.tar.gz,gcc,20221105-145357 7b06de6,gcc-install.tar.gz,58.0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
firedrake_20221106-170824_ae2ea5c_complex_firedrake-install.tar.gz,firedrake,20221106-170824 ae2ea5c complex,firedrake-install.tar.gz,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
firedrake_20221105-190934_804badf_complex_firedrake-install.tar.gz,firedrake,20221105-190934 804badf complex,firedrake-install.tar.gz,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
boost_20221106-115832_ae2ea5c_boost-install.tar.gz,boost,20221106-115832 ae2ea5c,boost-install.tar.gz,12.0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
boost_20221105-202057_712d8a0_boost-install.tar.gz,boost,20221105-202057 712d8a0,boost-install.tar.gz,11.0,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12
boost_20221105-193647_804badf_boost-install.tar.gz,boost,20221105-193647 804badf,boost-install.tar.gz,3.0,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
boost_20221105-154055_7b06de6_boost-install.tar.gz,boost,20221105-154055 7b06de6,boost-install.tar.gz,10.0,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11
vtk_20221104-103343_daccde0_vtk-install.tar.gz,vtk,20221104-103343 daccde0,vtk-install.tar.gz,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
occ_20221104-103249_daccde0_occ-install.tar.gz,occ,20221104-103249 daccde0,occ-install.tar.gz,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
mpi4py_20221104-103324_daccde0_mpi4py-install.tar.gz,mpi4py,20221104-103324 daccde0,mpi4py-install.tar.gz,7.0,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8
itk_20221104-105106_daccde0_itk-install.tar.gz,itk,20221104-105106 daccde0,itk-install.tar.gz,2.0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
gcc_20221104-093519_daccde0_gcc-install.tar.gz,gcc,20221104-093519 daccde0,gcc-install.tar.gz,36.0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
boost_20221104-103302_daccde0_boost-install.tar.gz,boost,20221104-103302 daccde0,boost-install.tar.gz,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
pybind11_20221103-162916_267be4a_pybind11-install.tar.gz,pybind11,20221103-162916 267be4a,pybind11-install.tar.gz,1.0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
pybind11_20221103-162916_267be4a_pybind11-install.tar-32781c24a063a5f148a2ff4b11f47c5b.gz,pybind11,20221103-162916 267be4a,pybind11-install.tar-32781c24a063a5f148a2ff4b11f47c5b.gz,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
petsc4py_20221103-165504_267be4a_complex_petsc4py-install.tar.gz,petsc4py,20221103-165504 267be4a complex,petsc4py-install.tar.gz,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
petsc4py_20221103-165433_267be4a_real_petsc4py-install.tar.gz,petsc4py,20221103-165433 267be4a real,petsc4py-install.tar.gz,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
occ_20221103-155710_267be4a_occ-install.tar.gz,occ,20221103-155710 267be4a,occ-install.tar.gz,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
mpi4py_20221103-155700_267be4a_mpi4py-install.tar.gz,mpi4py,20221103-155700 267be4a,mpi4py-install.tar.gz,15.0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
h5py_20221103-162916_267be4a_h5py-install.tar.gz,h5py,20221103-162916 267be4a,h5py-install.tar.gz,10.0,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
gcc_20221103-151320_d111ea3_gcc-install.tar.gz,gcc,20221103-151320 d111ea3,gcc-install.tar.gz,25.0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
gcc_20221103-130855_d111ea3_gcc-install.tar-ffebf62bc40c0bfe4662f6bde5159097.gz,gcc,20221103-130855 d111ea3,gcc-install.tar-ffebf62bc40c0bfe4662f6bde5159097.gz,2.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
boost_20221103-155708_267be4a_boost-install.tar.gz,boost,20221103-155708 267be4a,boost-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
slepc4py_20221205-130116_9ee57a2_real_slepc4py-install.tar.gz,slepc4py,20221205-130116 9ee57a2 real,slepc4py-install.tar.gz,0.0,22,22,26,26,28,32,33,33,33,33,34,36,42,42,42,42,42,42
slepc4py_20221205-125415_9ee57a2_complex_slepc4py-install.tar.gz,slepc4py,20221205-125415 9ee57a2 complex,slepc4py-install.tar.gz,0.0,13,13,13,13,15,17,17,17,17,17,17,19,23,23,23,23,23,23
pybind11_20221205-111547_9ee57a2_pybind11-install.tar.gz,pybind11,20221205-111547 9ee57a2,pybind11-install.tar.gz,0.0,45,46,50,50,54,61,63,63,64,64,65,69,79,79,79,79,79,79
petsc4py_20221205-114436_9ee57a2_real_petsc4py-install.tar.gz,petsc4py,20221205-114436 9ee57a2 real,petsc4py-install.tar.gz,0.0,35,36,40,40,43,49,51,51,51,51,52,56,64,64,64,64,64,64
petsc4py_20221205-114354_9ee57a2_complex_petsc4py-install.tar.gz,petsc4py,20221205-114354 9ee57a2 complex,petsc4py-install.tar.gz,0.0,18,18,18,19,21,23,23,23,23,23,23,25,28,28,28,28,28,28
